Questions_Removed,Strategy,Total_Entries,BERTScore F1,SBERT Similarity,LLM Answer Similarity,Rejection Accuracy,Judge: Rephrase Quality,Judge: Answer Correctness,Jaccard Token
1,omit_1_question,3000,0.905 ± 0.034,0.793 ± 0.136,0.659 ± 0.292,0.553 ± 0.481,4.287 ± 0.764,4.386 ± 1.186,0.323 ± 0.141
2,omit_2_questions,3000,0.900 ± 0.032,0.786 ± 0.127,0.665 ± 0.266,0.517 ± 0.453,4.250 ± 0.746,4.374 ± 1.053,0.302 ± 0.128
